"genes"	"modules"
"16290"	"M1"
"10184"	"M1"
"14804"	"M2"
"8434"	"M1"
"13412"	"M1"
"9178"	"Not.Correlated"
"14920"	"M1"
"13525"	"M1"
"3083"	"M3"
"9677"	"M3"
"10067"	"M8"
"15312"	"M1"
"10414"	"M1"
"5975"	"M1"
"11120"	"M1"
"10612"	"M1"
"1342"	"M1"
"5328"	"M3"
"12251"	"M1"
"5411"	"M3"
"6252"	"M1"
"7061"	"M2"
"9473"	"M8"
"1335"	"M1"
"9997"	"M3"
"16342"	"M4"
"5032"	"M6"
"16376"	"M1"
"4966"	"M1"
"7241"	"M8"
"7266"	"M5"
"8455"	"M1"
"10993"	"M5"
"3"	"M1"
"9999"	"M1"
"7197"	"M1"
"2300"	"M2"
"6447"	"M4"
"7519"	"M1"
"7708"	"M1"
"5078"	"M1"
"10013"	"M1"
"15974"	"M3"
"4861"	"M4"
"10540"	"M2"
"13786"	"M6"
"773"	"M1"
"8023"	"M1"
"306"	"M1"
"11592"	"M1"
"13345"	"M1"
"286"	"M1"
"14674"	"M1"
"8901"	"M1"
"334"	"M8"
"10260"	"M1"
"7956"	"M2"
"3526"	"M1"
"16417"	"M1"
"10082"	"M1"
"12568"	"M3"
"8210"	"M6"
"3216"	"M1"
"6985"	"M2"
"4430"	"M8"
"12848"	"M7"
"1067"	"M6"
"7483"	"M3"
"1420"	"M2"
"6539"	"M2"
"15069"	"M3"
"2933"	"M7"
"6203"	"M1"
"5688"	"M1"
"6604"	"M1"
"6164"	"M1"
"8561"	"M2"
"6094"	"M1"
"13894"	"M1"
"5611"	"M1"
"4833"	"M1"
"978"	"M1"
"5206"	"M1"
"15062"	"M7"
"12407"	"M1"
"12002"	"M6"
"13871"	"M1"
"5726"	"M1"
"3814"	"M1"
"15212"	"M1"
"475"	"M1"
"15938"	"M1"
"6172"	"M1"
"1595"	"M1"
"6140"	"M8"
"3281"	"M1"
"6864"	"M1"
"7284"	"M7"
"1522"	"M1"
"15377"	"M1"
"10759"	"M3"
"14036"	"M1"
"1489"	"M1"
"12844"	"M4"
"8609"	"M1"
"5373"	"M3"
"13223"	"M1"
"10953"	"M1"
"15718"	"M3"
"67"	"M1"
"13875"	"M1"
"12085"	"M1"
"6860"	"M1"
"11671"	"M1"
"15241"	"M2"
"4539"	"M1"
"16602"	"M1"
"16618"	"M3"
"1348"	"M1"
"16694"	"M3"
"13311"	"M2"
"15471"	"M1"
"8005"	"M8"
"13943"	"M1"
"4630"	"M3"
"10025"	"M1"
"4132"	"M1"
"10300"	"M1"
"6654"	"M1"
"11586"	"M7"
"11734"	"M3"
"8086"	"M1"
"13207"	"M1"
"4277"	"M1"
"1927"	"M2"
"11988"	"M1"
"506"	"M2"
"8231"	"M8"
"9826"	"M4"
"8628"	"M1"
"9515"	"M3"
"8046"	"M1"
"2715"	"M1"
"9148"	"M4"
"634"	"M2"
"6754"	"M1"
"14382"	"M3"
"9516"	"M3"
"15995"	"M1"
"13298"	"M8"
"12322"	"M3"
"8698"	"M1"
"13940"	"M5"
"2632"	"M1"
"766"	"M1"
"5277"	"M4"
"128"	"M1"
"15658"	"M1"
"13482"	"M1"
"2087"	"M6"
"7394"	"M1"
"3028"	"M2"
"15790"	"M1"
"6808"	"M3"
"5220"	"M1"
"7226"	"M1"
"14639"	"M4"
"285"	"M6"
"3706"	"M1"
"4661"	"M1"
"16416"	"M2"
"6704"	"M1"
"9451"	"M3"
"4980"	"M2"
"4687"	"M1"
"15209"	"M3"
"9357"	"M1"
"2622"	"M1"
"15058"	"M1"
"1192"	"M1"
"9368"	"M1"
"7796"	"M1"
"13983"	"M1"
"9277"	"M1"
"5287"	"M1"
"13764"	"M3"
"13165"	"M2"
"9565"	"M1"
"672"	"M8"
"9907"	"M1"
"9152"	"M2"
"14916"	"M1"
"6225"	"M2"
"11514"	"M2"
"6429"	"M1"
"4204"	"M4"
"11800"	"M1"
"3224"	"M7"
"7760"	"M1"
"6130"	"M3"
"15242"	"M7"
"12954"	"M7"
"11379"	"M3"
"4651"	"M2"
"14593"	"M3"
"14186"	"M1"
"6139"	"M2"
"4761"	"M1"
"7954"	"M5"
"5020"	"M4"
"1658"	"M1"
"9267"	"M1"
"14407"	"M6"
"15410"	"M1"
"8036"	"M1"
"13477"	"M1"
"13142"	"M1"
"4973"	"M4"
"8546"	"M1"
"12430"	"M2"
"12129"	"M1"
"5709"	"M1"
"8585"	"M1"
"2868"	"M8"
